prices,market_caps,total_volumes,coin,date,date_unix
22.618465533794737,747023467.0123593,34365357.6510552,convex-finance,2021-10-27 17:29:57,1635355797.34
22.785012676207625,751355176.7084665,34008489.139542796,convex-finance,2021-10-27 18:28:41,1635359321.418
22.786055539545945,754843785.974608,33180502.97503933,convex-finance,2021-10-27 19:29:24,1635362964.164
23.51466884858212,776991508.8865008,33261892.94771583,convex-finance,2021-10-27 20:29:58,1635366598.722
23.532618853140114,776680820.5023755,30208648.650962315,convex-finance,2021-10-27 21:29:17,1635370157.988
23.63889525127472,790183877.0454855,29854268.433858927,convex-finance,2021-10-27 22:29:08,1635373748.933
23.660438115389137,783937558.3087844,28724885.227991935,convex-finance,2021-10-27 23:29:44,1635377384.263
23.94464108241793,788392705.8288126,28464996.68368658,convex-finance,2021-10-28 00:19:57,1635380397.669
24.042471429145003,793014580.3281167,29088969.530965917,convex-finance,2021-10-28 01:30:40,1635384640.461
24.365533296790872,806253720.2284675,29076495.12843293,convex-finance,2021-10-28 02:31:49,1635388309.776
25.51552953161232,845405446.5091323,2290306.9217771036,convex-finance,2021-10-28 03:30:50,1635391850.154
24.39559505497424,802398733.1802229,36795875.05306386,convex-finance,2021-10-28 04:30:00,1635395400.286
24.154094347919727,797904266.2108562,37019768.6528677,convex-finance,2021-10-28 05:30:45,1635399045.26
24.343811157589176,806853424.2745302,37112135.09185726,convex-finance,2021-10-28 06:16:05,1635401765.41
24.405260745585746,814971542.2809485,37375650.7126628,convex-finance,2021-10-28 07:30:46,1635406246.975
24.70142006989099,819027670.07976,37015637.42054657,convex-finance,2021-10-28 08:29:22,1635409762.678
26.072838136899453,865903173.2541349,37224246.119627744,convex-finance,2021-10-28 09:30:50,1635413450.605
26.631983741025284,881765771.356193,35331907.18694074,convex-finance,2021-10-28 10:20:42,1635416442.382
26.390785249689745,866437866.0760658,35475167.194271594,convex-finance,2021-10-28 11:14:38,1635419678.986
26.395421643534576,840579282.301171,34494292.46854565,convex-finance,2021-10-28 12:30:41,1635424241.18
27.452201314709693,878543394.3395163,35412778.8796118,convex-finance,2021-10-28 13:28:27,1635427707.41
27.20117304418782,903761180.1321805,36706456.52086034,convex-finance,2021-10-28 14:28:49,1635431329.051
26.977635719641807,903477180.7120867,37020149.61115647,convex-finance,2021-10-28 15:30:27,1635435027.709
26.960861826245143,897591972.8036098,36987543.652705126,convex-finance,2021-10-28 16:28:41,1635438521.398
27.241687670602595,905391236.8077962,31467686.640284337,convex-finance,2021-10-28 17:24:09,1635441849.338
26.805342474404966,913945042.4002339,2277264.3858079747,convex-finance,2021-10-28 18:23:36,1635445416.137
26.68749121710354,892639213.3204813,32665393.593989376,convex-finance,2021-10-28 19:22:58,1635448978.562
27.72847626774267,909812597.9755545,33057582.506919574,convex-finance,2021-10-28 20:24:35,1635452675.533
26.936939043209357,882901490.8260792,2322077.7019770592,convex-finance,2021-10-28 21:24:32,1635456272.334
28.98901204448116,962309053.4629132,36666637.37649668,convex-finance,2021-10-28 22:24:06,1635459846.083
29.289070467242258,955241787.2673903,37366719.24464465,convex-finance,2021-10-28 23:23:48,1635463428.42
28.57900465219206,983725839.085029,38644680.217737235,convex-finance,2021-10-29 00:23:27,1635467007.638
28.960802337558135,971371636.419343,38444838.32786917,convex-finance,2021-10-29 01:23:58,1635470638.493
28.494441318265718,976937711.17894,2133935.498063388,convex-finance,2021-10-29 02:24:29,1635474269.516
30.585258461039277,1013019009.4965299,37812992.86176227,convex-finance,2021-10-29 03:24:09,1635477849.351
30.502048940215754,1016689473.1821979,33063142.107991148,convex-finance,2021-10-29 04:24:06,1635481446.645
30.433876536068468,1016164550.6453409,33766563.539142445,convex-finance,2021-10-29 05:19:58,1635484798.428
30.49680022372164,1014346565.0819936,33395996.000501364,convex-finance,2021-10-29 06:23:57,1635488637.254
31.03547130926644,1033702124.1144379,34941483.16375207,convex-finance,2021-10-29 07:05:10,1635491110.718
31.31510262790128,1016851598.2771327,2406889.579896222,convex-finance,2021-10-29 08:00:17,1635494417.414
29.74053724522523,991423999.238736,35939746.309755534,convex-finance,2021-10-29 09:13:48,1635498828.733
29.701367357062345,987905554.0894616,34280475.47959234,convex-finance,2021-10-29 10:14:03,1635502443.595
29.63113738768433,994239423.1199396,33106926.308575116,convex-finance,2021-10-29 11:14:00,1635506040.055
29.775260652330722,991076937.9465517,32647420.81539473,convex-finance,2021-10-29 12:04:58,1635509098.298
29.052306947646404,967311241.3395151,32963065.423354574,convex-finance,2021-10-29 13:15:51,1635513351.488
28.83966938984173,962476157.9962997,32086521.219386,convex-finance,2021-10-29 14:06:26,1635516386.275
30.88571619334475,1024099596.9258116,36013092.42190103,convex-finance,2021-10-29 15:01:12,1635519672.995
32.29323475352576,1089817012.8653343,38696693.799847014,convex-finance,2021-10-29 16:03:56,1635523436.532
32.24766178331957,1089817012.8653343,38492703.325748496,convex-finance,2021-10-29 17:05:25,1635527125.614
32.44989989382902,1083151308.0209305,39198517.878793396,convex-finance,2021-10-29 18:06:56,1635530816.192
32.29845588473674,1078986324.7250478,36356883.982598804,convex-finance,2021-10-29 19:08:54,1635534534.428
32.27178701425886,1096438508.9937584,39034656.09209195,convex-finance,2021-10-29 20:29:44,1635539384.182
32.09153566811495,1072321325.8945315,38443086.865428604,convex-finance,2021-10-29 21:31:17,1635543077.671
32.617149894149556,1072321325.8945315,37470386.405996285,convex-finance,2021-10-29 22:30:00,1635546600.101
32.40644903378978,1086989785.7801273,37223935.76994928,convex-finance,2021-10-29 23:03:43,1635548623.444
31.95964397602569,1067050280.1921176,37688814.200631775,convex-finance,2021-10-30 00:01:00,1635552060.743
31.550304966611684,1054330673.3696433,36279526.09034641,convex-finance,2021-10-30 01:12:35,1635556355.492
31.55468603480332,1054330673.3696433,36324187.759059824,convex-finance,2021-10-30 02:13:11,1635559991.516
31.443524236603476,1051021596.7027858,34421149.61328246,convex-finance,2021-10-30 03:13:32,1635563612.367
31.394605926826028,1049660109.1169254,33600625.387228645,convex-finance,2021-10-30 04:08:14,1635566894.642
31.83489687938039,1053673792.0098387,33018253.044561863,convex-finance,2021-10-30 05:09:13,1635570553.249
32.24234944062023,1070296123.7136844,33101887.054497592,convex-finance,2021-10-30 06:09:17,1635574157.693
32.803057758086666,1094126089.0718362,31832958.298834916,convex-finance,2021-10-30 07:09:22,1635577762.798
32.79076818537277,1096780902.243551,31010006.05666731,convex-finance,2021-10-30 08:00:51,1635580851.396
32.48868137092178,1091654185.854343,30042136.2240167,convex-finance,2021-10-30 09:12:08,1635585128.992
31.605339728132368,1058680798.21368,30682866.33341614,convex-finance,2021-10-30 10:12:15,1635588735.853
30.413027559259,1051993452.1446415,32230651.50374563,convex-finance,2021-10-30 11:12:06,1635592326.288
30.27560323584237,1018037876.067889,31513834.13726677,convex-finance,2021-10-30 12:12:14,1635595934.93
29.97662058730707,1003660976.201976,31643928.26013657,convex-finance,2021-10-30 13:10:46,1635599446.078
29.767490912028244,996638116.5078413,31042765.469136164,convex-finance,2021-10-30 14:05:48,1635602748.512
29.028511503669538,968494891.6089,26510194.703393348,convex-finance,2021-10-30 15:04:10,1635606250.027
28.86945118252762,966882238.3293039,24656860.688815445,convex-finance,2021-10-30 16:13:59,1635610439.982
28.869962982032913,965482933.4064245,24198862.31152739,convex-finance,2021-10-30 17:05:30,1635613530.243
28.741049027780072,965010022.6403145,23097988.951358523,convex-finance,2021-10-30 18:01:46,1635616906.376
28.753013152361913,962454577.0208266,23440641.815571126,convex-finance,2021-10-30 19:15:27,1635621327.525
29.4681101883468,970070777.4886904,23105420.480475467,convex-finance,2021-10-30 20:06:03,1635624363.243
29.427529833511315,992153075.2297245,21442172.17561586,convex-finance,2021-10-30 21:05:51,1635627951.197
29.20026192618251,980615787.7517275,18606588.041717142,convex-finance,2021-10-30 22:18:27,1635632307.843
28.92289226696249,970613516.0346203,18328321.952750757,convex-finance,2021-10-30 23:04:58,1635635098.213
28.89378159672185,972803750.7827545,17628203.982504502,convex-finance,2021-10-31 00:09:50,1635638990.932
29.62737601323103,979972830.5907191,18723191.35594996,convex-finance,2021-10-31 01:01:06,1635642066.876
29.34415637787985,984432043.4207181,18495653.74326664,convex-finance,2021-10-31 02:05:42,1635645942.156
28.995451105470845,973173458.2910819,18478767.73356018,convex-finance,2021-10-31 03:17:42,1635650262.502
29.14520183385305,974821934.447414,18109148.60614088,convex-finance,2021-10-31 04:00:51,1635652851.284
29.02793011223055,973622166.1785637,17186568.90574463,convex-finance,2021-10-31 05:06:42,1635656802.705
28.937387351156502,965430792.8055559,17330450.29499921,convex-finance,2021-10-31 06:02:58,1635660178.146
29.00990674655049,965979600.2195988,16757350.68156019,convex-finance,2021-10-31 07:11:15,1635664275.954
28.88567296472633,973468145.0754635,16724576.321362894,convex-finance,2021-10-31 08:01:08,1635667268.653
28.520596972677254,959174454.392438,15556457.67008411,convex-finance,2021-10-31 09:08:02,1635671282.982
28.404658570343845,955502151.9380467,14402977.851133255,convex-finance,2021-10-31 10:21:00,1635675660.465
28.192355375250244,947606342.2420069,13245864.292341454,convex-finance,2021-10-31 11:20:53,1635679253.729
27.581960298448735,927356975.239327,14734712.149011781,convex-finance,2021-10-31 12:20:28,1635682828.072
27.649123663980724,930438294.326846,14836752.3947896,convex-finance,2021-10-31 13:29:56,1635686996.458
27.616102136501652,928187900.6566741,14824420.711386828,convex-finance,2021-10-31 14:00:51,1635688851.457
27.732051233144137,926316040.0438583,14711018.389828302,convex-finance,2021-10-31 15:01:24,1635692484.504
27.60846774136762,930449240.9352344,13888549.357371274,convex-finance,2021-10-31 16:00:11,1635696011.053
27.57644039569669,931718969.2969623,14008806.215302179,convex-finance,2021-10-31 17:01:36,1635699696.877
27.68268302913721,932327018.802461,13993349.181982502,convex-finance,2021-10-31 18:05:05,1635703505.826
27.899230322640772,939618659.6744442,14082374.409595126,convex-finance,2021-10-31 19:12:57,1635707577.523
28.23493699354391,951065968.7627639,13722502.47848718,convex-finance,2021-10-31 20:11:52,1635711112.271
28.2477193707854,951522489.6726935,13949291.257409811,convex-finance,2021-10-31 21:03:43,1635714223.315
28.86884654170882,972422504.3486098,14512930.2133501,convex-finance,2021-10-31 22:29:33,1635719373.546
28.840160047371363,971396363.6883452,14667265.81012592,convex-finance,2021-10-31 23:26:06,1635722766.461
28.925268189233968,972228029.7795137,15496969.181280302,convex-finance,2021-11-01 00:34:26,1635726866.243
29.010280584143672,972228029.7795137,14392317.244762292,convex-finance,2021-11-01 01:26:59,1635730019.689
28.35446131064451,973952881.8177445,13734612.802768156,convex-finance,2021-11-01 02:29:41,1635733781.094
28.575533000547267,960598347.5566475,14171375.378369324,convex-finance,2021-11-01 03:29:44,1635737384.986
28.670574830097408,965147398.2093557,14666100.882864652,convex-finance,2021-11-01 04:28:48,1635740928.017
29.14738137847341,978980297.028038,15510190.35294755,convex-finance,2021-11-01 05:28:49,1635744529.786
29.267478779968137,978980297.028038,15645222.80486065,convex-finance,2021-11-01 06:18:57,1635747537.928
29.792268466954415,987292571.7104715,15918600.003106017,convex-finance,2021-11-01 07:26:42,1635751602.052
29.446336707899068,998817482.9522572,15815526.846604321,convex-finance,2021-11-01 08:32:18,1635755538.923
29.66108962730019,1001224342.6615328,15813747.473718032,convex-finance,2021-11-01 09:19:07,1635758347.355
29.793282452681037,1001224342.6615328,17039420.80051497,convex-finance,2021-11-01 10:26:28,1635762388.511
29.066060874395145,1014310230.2291603,2365749.1756997197,convex-finance,2021-11-01 11:32:41,1635766361.747
29.967248553600985,1013131940.0137465,17154920.301339403,convex-finance,2021-11-01 12:27:52,1635769672.066
30.04672176416524,1012457111.613811,18203578.266274232,convex-finance,2021-11-01 13:36:18,1635773778.757
30.21871143043106,1014448905.9877142,18285954.22362798,convex-finance,2021-11-01 14:30:48,1635777048.611
30.53281197570759,1019089672.6554744,24183728.542983707,convex-finance,2021-11-01 15:24:10,1635780250.129
30.640587571486634,1035275065.3689284,24352934.122492388,convex-finance,2021-11-01 16:33:20,1635784400.862
30.098558395380543,1035275065.3689284,23918894.943602458,convex-finance,2021-11-01 17:31:00,1635787860.411
30.223365316303962,1016049066.9114001,24199706.93901231,convex-finance,2021-11-01 18:34:42,1635791682.53
30.21662849801528,1022243677.5943972,24109011.783056308,convex-finance,2021-11-01 19:14:54,1635794094.981
30.713825810330885,1031967642.7735709,24329968.306869023,convex-finance,2021-11-01 20:23:46,1635798226.078
30.078227561751206,1038431526.5108068,24327667.130707163,convex-finance,2021-11-01 21:30:26,1635802226.529
29.80207081383679,1017386274.9179847,24800146.85565182,convex-finance,2021-11-01 22:34:11,1635806051.86
29.874814107346488,1012056753.1578168,24600437.589352433,convex-finance,2021-11-01 23:34:21,1635809661.649
30.089749412470738,1016191040.4671992,24517428.666281153,convex-finance,2021-11-02 00:34:24,1635813264.955
29.779818169794634,1003267271.4259657,24164937.444571212,convex-finance,2021-11-02 01:33:53,1635816833.363
29.701589415584937,1009717060.0990775,23986294.90567669,convex-finance,2021-11-02 02:29:55,1635820195.892
30.149309242201895,1005862859.1619976,25097807.143311895,convex-finance,2021-11-02 03:32:10,1635823930.642
30.405944902649424,1030177246.3686242,25039177.29926657,convex-finance,2021-11-02 04:33:54,1635827634.062
30.40985322640397,1030933086.616583,24555922.880922414,convex-finance,2021-11-02 05:27:17,1635830837.469
30.451697951269182,1033577906.9402187,24221837.51806016,convex-finance,2021-11-02 06:00:43,1635832843.0
2.530640326062962,93972047.76627123,19486101.43046484,ribbon-finance,2021-10-23 06:37:35,1634971055.889
2.5259136338807804,93986843.63956998,18046557.82267444,ribbon-finance,2021-10-23 07:38:01,1634974681.375
2.504165144560823,93249433.67974557,18230902.296746068,ribbon-finance,2021-10-23 08:37:22,1634978242.794
2.4651679167687113,92517618.3356741,18183246.89284742,ribbon-finance,2021-10-23 09:35:04,1634981704.717
2.462155731684596,92137121.68644287,18208061.090075765,ribbon-finance,2021-10-23 10:37:23,1634985443.216
2.476935561787996,91907992.97019453,18156420.173724737,ribbon-finance,2021-10-23 11:34:58,1634988898.473
2.5025365328552396,92935196.11118044,18468482.96207187,ribbon-finance,2021-10-23 12:37:17,1634992637.852
2.4798670871941306,92727571.5051468,20113089.273323193,ribbon-finance,2021-10-23 13:38:21,1634996301.864
2.476538515359141,92284901.6150708,19997909.60363559,ribbon-finance,2021-10-23 14:37:41,1634999861.578
2.515446940165113,92329574.90204425,19556513.685193986,ribbon-finance,2021-10-23 15:37:47,1635003467.283
2.5463031248313963,94739659.32819031,14241138.878539577,ribbon-finance,2021-10-23 16:36:24,1635006984.685
2.546963582172459,94792627.58108585,11083556.952715065,ribbon-finance,2021-10-23 17:36:44,1635010604.323
2.4679391720936152,92315747.40486968,11683503.024029449,ribbon-finance,2021-10-23 18:38:18,1635014298.889
2.5650020658335984,96492476.29646163,13517442.86195483,ribbon-finance,2021-10-23 19:36:11,1635017771.813
2.739075560389049,101493326.49311574,15220195.35908468,ribbon-finance,2021-10-23 20:38:56,1635021536.54
2.750240337816523,102419917.00424299,15193683.89423372,ribbon-finance,2021-10-23 21:38:01,1635025081.232
2.7876152865743244,103477439.04001722,14190082.55874179,ribbon-finance,2021-10-23 22:38:11,1635028691.888
2.8104210884558793,104125563.99801299,13181660.88037107,ribbon-finance,2021-10-23 23:38:26,1635032306.897
2.816807530738227,105005531.89444505,13157344.105116585,ribbon-finance,2021-10-24 00:36:18,1635035778.774
2.7692127774096047,103137414.3121173,13150844.629869387,ribbon-finance,2021-10-24 01:36:50,1635039410.605
2.7602160513096035,102852829.10433699,12800267.749666296,ribbon-finance,2021-10-24 02:38:10,1635043090.785
2.7759841204507425,103391032.7669519,12847224.111033507,ribbon-finance,2021-10-24 03:35:54,1635046554.926
2.753292108073595,102554433.07496957,12512840.168793324,ribbon-finance,2021-10-24 04:37:52,1635050272.773
2.7700500816936575,102068006.74165373,11722609.196810476,ribbon-finance,2021-10-24 05:38:05,1635053885.017
2.5886677220575205,97001021.78174227,13291498.75735331,ribbon-finance,2021-10-24 06:35:40,1635057340.035
2.5651635971968907,95520877.78797817,13705492.450032711,ribbon-finance,2021-10-24 07:38:29,1635061109.17
2.549865298438918,95002727.76766297,13225769.203265771,ribbon-finance,2021-10-24 08:30:51,1635064251.181
2.5251583208639548,94001134.79105157,13704588.510030234,ribbon-finance,2021-10-24 09:37:04,1635068224.988
2.5193588612515407,93522715.66295327,13636739.22524831,ribbon-finance,2021-10-24 10:37:02,1635071822.872
2.5617407330132758,93966999.5325957,14358034.966906201,ribbon-finance,2021-10-24 11:28:12,1635074892.196
2.688005868180634,99550633.36258532,15859863.774917202,ribbon-finance,2021-10-24 12:37:31,1635079051.155
2.6774736893372313,99710816.15590888,14150328.651912313,ribbon-finance,2021-10-24 13:36:48,1635082608.53
2.688773257837899,100123821.35867508,14209257.357610278,ribbon-finance,2021-10-24 14:27:50,1635085670.665
2.662743371783126,99633641.64789416,14362459.66342298,ribbon-finance,2021-10-24 15:37:10,1635089830.158
2.6710046789598003,98904407.63336319,14304723.475602591,ribbon-finance,2021-10-24 16:38:04,1635093484.859
2.68565021518968,99979945.13419633,14159426.738295268,ribbon-finance,2021-10-24 17:35:33,1635096933.94
2.6398416733302854,98301720.0670337,12957828.168760085,ribbon-finance,2021-10-24 18:33:16,1635100396.9
2.67305587054736,99573457.28325419,10425358.144571146,ribbon-finance,2021-10-24 19:37:33,1635104253.289
2.6830403471221675,100204286.28349431,9039688.08481148,ribbon-finance,2021-10-24 20:37:32,1635107852.643
2.7159302554065037,100894405.63482559,9080895.220533563,ribbon-finance,2021-10-24 21:39:21,1635111561.512
2.7098171049854805,100912776.039755,8909185.517126698,ribbon-finance,2021-10-24 22:31:54,1635114714.817
2.7309427127565797,101309751.97363293,9187078.369013697,ribbon-finance,2021-10-24 23:38:02,1635118682.048
2.7343332907016515,101921073.71028368,9004186.071716812,ribbon-finance,2021-10-25 00:37:45,1635122265.993
2.76783063758675,101921073.71028368,8806989.000184754,ribbon-finance,2021-10-25 01:37:36,1635125856.31
2.7563198946942773,102639105.0042085,8933475.997537266,ribbon-finance,2021-10-25 02:37:07,1635129427.043
2.7670457357480966,102917109.51799864,9026113.70533181,ribbon-finance,2021-10-25 03:29:21,1635132561.003
2.7542544726344773,102736532.23377645,9163482.89160385,ribbon-finance,2021-10-25 04:38:06,1635136686.17
2.7710583655549894,102856516.65265396,9343641.42714001,ribbon-finance,2021-10-25 05:19:39,1635139179.053
2.7653655914783206,102975946.24815878,7737191.857296,ribbon-finance,2021-10-25 06:29:35,1635143375.755
2.7806485130436376,103571359.21864145,7567534.716628759,ribbon-finance,2021-10-25 07:30:29,1635147029.366
2.8021094376857745,104318552.45464392,8118781.102764526,ribbon-finance,2021-10-25 08:33:20,1635150800.899
2.789268787354827,103742654.62713005,8113566.560202815,ribbon-finance,2021-10-25 09:24:43,1635153883.668
2.793430774344011,103741167.38787858,7646804.727412097,ribbon-finance,2021-10-25 10:22:06,1635157326.135
2.766884230685601,103741167.38787858,7724771.619275457,ribbon-finance,2021-10-25 11:06:31,1635159991.396
2.7773508532108724,103367482.46796115,5588182.357944637,ribbon-finance,2021-10-25 12:19:38,1635164378.931
2.77387256047,103305130.26743299,6047908.45166096,ribbon-finance,2021-10-25 13:37:44,1635169064.876
2.7954109210702356,104461572.8751799,6042237.184587731,ribbon-finance,2021-10-25 14:22:26,1635171746.435
2.7837005727866138,103732385.19992697,5873231.1244418025,ribbon-finance,2021-10-25 15:25:10,1635175510.747
2.841538185078781,105752563.6329553,5895802.803033663,ribbon-finance,2021-10-25 16:37:55,1635179875.825
2.8321816603153014,105615363.13354218,5931864.249851934,ribbon-finance,2021-10-25 17:38:12,1635183492.834
2.829223447755982,104912442.18623687,5660840.682775186,ribbon-finance,2021-10-25 18:36:43,1635187003.644
2.817703361434951,105278966.37612598,5437243.805652143,ribbon-finance,2021-10-25 19:38:27,1635190707.057
2.818690846373247,104939491.22234657,5182408.718561348,ribbon-finance,2021-10-25 20:33:17,1635193997.138
2.8175136766603712,104810575.61251588,5492207.306866237,ribbon-finance,2021-10-25 21:37:41,1635197861.138
2.834843922132714,104612508.97302836,5916028.937746829,ribbon-finance,2021-10-25 22:37:45,1635201465.83
2.837585522906563,105834955.20799668,5502357.182391766,ribbon-finance,2021-10-25 23:39:03,1635205143.714
2.8615662170015126,105630981.6286096,5527792.193895718,ribbon-finance,2021-10-26 00:38:54,1635208734.309
2.498692748025917,105443514.5403507,11601690.308426201,ribbon-finance,2021-10-26 01:38:06,1635212286.942
2.5529146048411535,94308980.07146032,13535091.496891284,ribbon-finance,2021-10-26 02:39:42,1635215982.687
2.561542390978164,96053270.7804404,14727373.165634256,ribbon-finance,2021-10-26 03:37:24,1635219444.877
2.571660550277777,95860765.64422585,14744864.339753838,ribbon-finance,2021-10-26 04:38:54,1635223134.732
2.5658692369858005,95514308.27570508,14748267.90448284,ribbon-finance,2021-10-26 05:28:00,1635226080.996
2.5481949723969546,94708725.95346297,14775324.117886912,ribbon-finance,2021-10-26 06:39:09,1635230349.697
2.546375588758082,95026784.9243971,14493313.736090854,ribbon-finance,2021-10-26 07:38:20,1635233900.786
2.5857468277083187,96287350.6352899,15805817.825829457,ribbon-finance,2021-10-26 08:37:52,1635237472.047
2.6228478301844356,97614934.05230781,16994978.60612948,ribbon-finance,2021-10-26 09:39:12,1635241152.864
2.716520491793907,100437327.03026727,18435170.362448145,ribbon-finance,2021-10-26 10:37:59,1635244679.828
2.723144303743601,101677383.55962026,18087692.124930255,ribbon-finance,2021-10-26 11:37:19,1635248239.672
2.732117962317137,101830149.28064293,17934170.714612104,ribbon-finance,2021-10-26 12:35:30,1635251730.292
2.7258280759523394,101503246.23890598,18112413.02598714,ribbon-finance,2021-10-26 13:37:42,1635255462.384
2.7004795933836436,100587226.12048659,18162773.60546217,ribbon-finance,2021-10-26 14:35:29,1635258929.134
2.7018083926266465,99932309.72979476,18249031.3270153,ribbon-finance,2021-10-26 15:37:21,1635262641.264
2.713205809973998,100918613.3314998,18046862.15741536,ribbon-finance,2021-10-26 16:37:50,1635266270.033
2.70138444127899,100593433.2436849,17995545.582257763,ribbon-finance,2021-10-26 17:37:46,1635269866.674
2.7331813852707345,101849911.82562877,17986771.40704614,ribbon-finance,2021-10-26 18:37:16,1635273436.691
2.732449919837388,101516041.26039067,18141362.466972563,ribbon-finance,2021-10-26 19:37:54,1635277074.776
2.776019270856264,101680358.01711461,17813936.963776007,ribbon-finance,2021-10-26 20:38:44,1635280724.138
